 dataset_id,id,areas,bathymetry,class,Latitude,Longitude,family,infraphylum,order,parvphylum,phylum,scientificName,shoredistance,subphylum,originalScientificName,temperature,salinity,dissolved_oxygen,ph,chlorophyll,ocean_latitude,ocean_longitude,read_count,confidence_score,sequence_length,detection_category,abundance_prediction,data_source,processing_date
c24bf1c2-2c62-4056-a841-56d94e6e876a,94cf29bf-0437-49c4-9da0-6f7231658a7e,"[248, 252, 31904]",23,Teleostei,-5.433610916,71.76361084,Epinephelidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Epinephelus spilotoceps,1105,Vertebrata,Epinephelus spilotoceps,,,6.77,8.142,0.707,3.193,93.885,21939.0,0.7958227824710613,643.8,Medium,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,31b6100b-6458-4d89-85c9-3c73f9a1e374,"[248, 252, 31904]",10,Teleostei,-5.301111221,72.26222229,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Halichoeres hortulanus,633,Vertebrata,Halichoeres hortulanus,,34.611,6.236,8.086,,3.198,81.108,28300.0,0.872076762496001,625.2,High,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,eaf55d62-5f68-4094-8cae-09b33891cf38,"[248, 252, 31904]",12,Teleostei,-5.344722271,72.20999908,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Labroides bicolor,637,Vertebrata,Labroides bicolor,,,6.478,7.825,1.491,3.491,91.226,8846.0,0.8803431281919694,603.0,High,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,637e9b27-9cd5-4ae0-9aa1-26147103cdb2,"[248, 252, 31904]",15,Teleostei,-5.355000019,72.21138763,Ophichthidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Myrichthys colubrinus,426,Vertebrata,Myrichthys colubrinus,,33.045,6.446,7.915,,3.7,62.503,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,981a6cf3-6b9a-4af5-99fe-614d8e62a197,"[248, 252, 31904]",51,Teleostei,-5.314722061,72.23166656,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Pseudocheilinus hexataenia,155,Vertebrata,Pseudocheilinus hexataenia,,35.291,6.774,7.91,,3.815,89.859,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,c73b6842-823f-49c9-8709-669b55ab8c9f,"[248, 252, 31904]",15,Teleostei,-5.43194437,71.7555542,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Bathygobius coalitus,542,Vertebrata,Bathygobius coalitus,25.124,,6.495,7.815,,3.914,64.602,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,2f5ad90e-6550-4bfc-a66b-19224058cd21,"[248, 252, 31904]",2,Teleostei,-5.314722061,72.23972321,Chaetodontidae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Chaetodon trifascialis,1045,Vertebrata,Chaetodon trifascialis,,33.158,5.78,7.887,,3.945,84.692,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,527337b5-9c8d-4779-a72b-4e1dbb523c37,"[218, 219, 10161, 20914, 40030, 31904]",15,Teleostei,-27.52194405,32.68972397,Scorpaenidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Pterois antennata,1501,Vertebrata,Pterois antennata,,,5.619,7.966,1.285,4.409,90.132,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,d8bffd6d-abad-4882-8486-722add11f0a4,"[248, 252, 31904]",12,Teleostei,-5.34388876,72.21055603,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Trimma sheppardi,710,Vertebrata,Trimma sheppardi,,34.309,6.667,8.052,,4.693,75.238,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,456deecd-9813-497a-85b2-84b218513cc2,"[218, 219, 10161, 20914, 40030, 31904]",52,Teleostei,-27.5027771,32.70194626,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Eviota notata,2241,Vertebrata,Eviota notata,29.536,,6.728,8.128,,4.777,69.766,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,4ecca019-2db9-4dd1-b561-638bc3f3092c,"[248, 252, 31904]",10,Teleostei,-5.301111221,72.26222229,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Eviota sebreei,633,Vertebrata,Eviota sebreei,,33.473,6.096,8.133,,5.022,68.297,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,855f782b-9dd4-4427-ba8c-feec7daf322e,"[248, 252, 31904]",14,Teleostei,-5.43194437,71.76277924,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Fusigobius neophytus,1094,Vertebrata,Fusigobius neophytus,26.001,,5.739,8.212,,5.036,76.242,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,c6831355-648b-47e5-8c83-18d5311942fa,"[248, 252, 31904]",-2,Teleostei,-5.332220078,72.22332764,Grammistidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Pseudogramma polyacantha,226,Vertebrata,Pseudogramma polyacantha,30.002,,5.262,8.25,,5.137,72.38,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,f563227c-75ca-4455-95f0-0d3389f113cb,"[248, 252, 31904]",14,Teleostei,-5.429722309,71.7611084,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Zebrasoma scopas,951,Vertebrata,Zebrasoma scopas,,34.887,6.184,7.944,,5.243,93.776,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,6455e4f6-70eb-4e2c-8c94-17a96fac464e,"[218, 219, 10161, 20914, 40030, 31904]",9,Teleostei,-27.53333092,32.68333054,Pomacanthidae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Centropyge multispinis,799,Vertebrata,Centropyge multispinis,29.741,,5.931,7.915,,5.25,65.81,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,4563d204-1015-4f0d-b1f2-fd8c1dbd3509,"[248, 252, 31904]",16,Teleostei,-6.179166794,71.35888672,Moringuidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Moringua microchir,2034,Vertebrata,Moringua microchir,27.377,,6.145,8.14,,5.3,95.703,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,159b9733-22e9-4f40-a626-6f16f8aabab3,"[248, 252, 31904]",2,Teleostei,-5.356666565,72.21694183,Pomacentridae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Plectroglyphidodon johnstonianus,495,Vertebrata,Plectroglyphidodon johnstonianus,30.904,,4.482,7.835,,5.545,69.17,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,8b04335c-08f8-4c65-82ec-c5e5e475093b,"[248, 252, 31904]",15,Teleostei,-5.354444504,72.21583557,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Pleurosicya plicata,727,Vertebrata,Pleurosicya plicata,,,6.772,8.233,1.059,5.638,72.809,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,adba7b28-c511-46b8-be0f-c58563dfa43b,"[248, 252, 31904]",2,Teleostei,-5.44444418,71.8172226,Muraenidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Anarchias seychellensis,2008,Vertebrata,Anarchias seychellensis,28.186,,6.416,8.279,,5.683,62.039,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,257b819f-8df4-4304-ba1a-23501eda1d3c,"[248, 252, 31904]",15,Teleostei,-5.355000019,72.21611023,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Bryaninops erythrops,666,Vertebrata,Bryaninops erythrops,,33.57,5.916,8.15,,5.944,94.962,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,cf290514-01f8-4526-80f2-78179737a84d,"[248, 252, 31904]",15,Teleostei,-5.355000019,72.21611023,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Cheilodipterus lachneri,666,Vertebrata,Cheilodipterus lachneri,,35.76,6.85,8.122,,5.976,78.463,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,336c808a-1023-438a-bcc0-f1c15bded533,"[248, 252, 31904]",4,Teleostei,-5.384444237,71.75027466,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Fowleria aurita,1223,Vertebrata,Fowleria aurita,,33.866,6.328,7.837,,6.364,91.477,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,512196aa-b151-4594-b67a-b47ba2a55e80,"[248, 252, 31904]",14,Teleostei,-5.429999828,71.7591629,Fistulariidae,Gnathostomata,Syngnathiformes,Osteichthyes,Chordata,Fistularia commersonii,761,Vertebrata,Fistularia commersonii,,34.334,6.153,8.152,,6.472,89.39,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,23f06cca-b447-45ca-abad-404aa13cd470,"[248, 252, 31904]",12,Teleostei,-5.344722271,72.20833588,Holocentridae,Gnathostomata,Holocentriformes,Osteichthyes,Chordata,Sargocentron caudimaculatum,457,Vertebrata,Sargocentron caudimaculatum,27.32,,6.654,8.016,,7.337,68.047,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,6a7c39fe-18d6-447f-bce8-3b1d1c2d78ea,"[248, 252, 31904]",15,Teleostei,-5.426944256,71.75777435,Synodontidae,Gnathostomata,Aulopiformes,Osteichthyes,Chordata,Synodus dermatogenys,538,Vertebrata,Synodus dermatogenys,30.136,,4.188,7.846,,8.077,78.931,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,fb26ddc2-d37f-4267-b8c4-41051cf9912c,"[248, 252, 31904]",10,Teleostei,-5.301111221,72.26222229,Pinguipedidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Parapercis millepunctata,633,Vertebrata,Parapercis cephalopunctata,,,5.673,8.069,1.971,8.215,98.953,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,136f9918-cb64-44e0-a9ce-165e47347c16,"[248, 252, 31904]",12,Teleostei,-5.344722271,72.20833588,Muraenidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Gymnothorax margaritophorus,457,Vertebrata,Gymnothorax margaritophorus,28.181,,6.388,8.028,,8.27,70.329,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,b98ccac7-2460-43ad-89e8-dc628acfaa47,"[248, 252, 31904]",14,Teleostei,-5.429999828,71.7591629,Holocentridae,Gnathostomata,Holocentriformes,Osteichthyes,Chordata,Myripristis murdjan,761,Vertebrata,Myripristis murdjan,,,6.437,8.054,1.817,8.697,78.378,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,cb670cc4-a0b1-4f10-9790-575c4c8ebeec,"[248, 252, 31904]",4,Teleostei,-5.422500134,71.78111267,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Acanthurus leucosternon,3155,Vertebrata,Acanthurus leucosternon,31.539,,5.114,7.826,,8.962,86.242,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,7bea820e-9608-436e-82fc-d6ebb8c4b605,"[248, 252, 31904]",12,Teleostei,-5.344722271,72.20833588,Anthiadidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Pseudanthias squamipinnis,457,Vertebrata,Anthias squamipinnis,,33.073,6.509,8.162,,9.485,61.417,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,4cca4576-f67f-48da-ac7b-89b75dfd68b6,"[8, 9, 40045, 31904]",2,Teleostei,-20.54999924,116.8833313,Pseudochromidae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Congrogadus subducens,2760,Vertebrata,Congrogadus subducens,,35.76,6.74,8.215,,9.505,98.158,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,53ba5421-ed3f-48ab-a847-84d8d42f10c6,"[248, 252, 31904]",10,Teleostei,-5.301111221,72.26222229,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Gobiodon fulvus,633,Vertebrata,Gobiodon fulvus,,35.392,5.688,8.158,,9.507,88.572,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,be751ea2-33be-4838-9931-3c78fafa8489,"[145, 31904]",26,Teleostei,-19.65139008,63.42943954,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Gobiodon prolixus,2311,Vertebrata,Gobiodon prolixius,29.228,,6.472,8.096,,9.696,73.528,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,4055307a-5ffc-4baa-aa06-5a1ce6ada5d7,"[248, 252, 31904]",13,Teleostei,-5.385833263,71.74888611,Epinephelidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Liopropoma africanum,1118,Vertebrata,Liopropoma africana,,,5.538,7.986,1.068,9.941,67.837,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,237a45e5-29ef-4f1c-9c62-fbc9b86dafb2,"[248, 252, 31904]",23,Teleostei,-5.434166908,71.76444244,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Amblygobius semicinctus,1177,Vertebrata,Amblygobius semicinctus,28.93,,5.812,8.271,,10.021,84.255,0.0,0.3,0.0,No eDNA Data,Medium,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,217a51ba-b56e-4b3a-94c6-cbb904f79fd4,"[218, 219, 10161, 20914, 40030, 31904]",36,Teleostei,-27.51888847,32.69777679,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Coris caudimacula,2266,Vertebrata,Coris caudimacula,,35.762,6.967,7.913,,10.21,60.5,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,7e372d6b-b7da-4ecf-a895-74b2123c0335,"[8, 9, 40045, 31904]",1,Teleostei,-20.51666641,116.5833359,Pseudochromidae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Labracinus lineatus,1813,Vertebrata,Dampieria lineata,25.031,,6.43,8.174,,11.149,85.221,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,706e3659-a0ad-4a49-a5f4-e5a707d16b49,"[248, 252, 31904]",12,Teleostei,-5.344170094,72.20916748,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Eviota mikiae,563,Vertebrata,Eviota mikiae,31.894,,5.433,8.044,,11.285,78.501,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,3d350476-13c6-40b0-95d3-df34d79eadf6,"[248, 252, 31904]",20,Teleostei,-5.445555687,71.79499817,Muraenidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Gymnothorax pindae,1769,Vertebrata,Gymnothorax pindae,,,5.63,7.966,1.214,11.306,72.265,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,a9b14a95-eb81-4ba7-acb4-7cfd9ec59a23,"[145, 31904]",17,Teleostei,-19.75149918,63.43783188,Pomacentridae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Chromis viridis,433,Vertebrata,Chromis viridis,30.059,,4.925,8.265,,11.468,97.816,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,a836739c-8667-4508-a14e-dca8b756a529,"[145, 31904]",17,Teleostei,-19.75149918,63.43783188,Synodontidae,Gnathostomata,Aulopiformes,Osteichthyes,Chordata,Saurida gracilis,433,Vertebrata,Saurida gracilis,26.832,,5.972,8.233,,11.482,80.979,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,57db6af5-d1d1-499e-b502-546c77ba532c,"[145, 31904]",19,Teleostei,-19.66867065,63.42449951,Epinephelidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Epinephelus merra,921,Vertebrata,Epinephelus merra,,34.642,5.658,7.84,,11.54,78.831,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,34310d49-ee0b-467e-969c-72bad90baebf,"[248, 252, 31904]",2,Teleostei,-5.314722061,72.23972321,Pomacentridae,Gnathostomata,Ovalentaria incertae sedis,Osteichthyes,Chordata,Stegastes lacrymatus,1045,Vertebrata,Plectroglyphidodon lacrymatus,31.258,,4.925,8.207,,11.79,76.982,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,05474ff9-98ec-415e-a2cf-e7b11f9f86c8,"[248, 252, 31904]",16,Teleostei,-6.17527771,71.36611176,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Thalassoma quinquevittatum,2796,Vertebrata,Thalassoma quinquevittatum,,,6.911,8.052,0.506,12.064,63.527,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,f3a65642-d10c-427c-a070-add215984d1f,"[248, 252, 31904]",17,Teleostei,-5.333333492,71.83333588,Acanthuridae,Gnathostomata,Acanthuriformes,Osteichthyes,Chordata,Acanthurus nigrofuscus,7707,Vertebrata,Acanthurus nigrofuscus,27.857,,6.691,7.998,,12.298,74.681,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,17d33327-18bf-4163-9f3f-3ff7fb1823d7,"[212, 10146, 31904]",27,Teleostei,-4.550000191,55.45000076,Apogonidae,Gnathostomata,Kurtiformes,Osteichthyes,Chordata,Apogon semiornatus,1357,Vertebrata,Apogon semiornatus,25.224,,6.754,8.103,,12.356,89.145,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,6b491740-d37b-4343-866e-0e4974e471f6,"[248, 252, 31904]",28,Teleostei,-5.448888779,71.81194305,Chlopsidae,Gnathostomata,Anguilliformes,Osteichthyes,Chordata,Kaupichthys diodontus,1460,Vertebrata,Kaupichthys diodontus,,,5.979,7.878,1.509,12.499,75.397,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,03d95166-6218-49aa-890c-fa6ae8d7731d,"[248, 252, 31904]",24,Teleostei,-5.399166584,71.74777985,Gobiidae,Gnathostomata,Gobiiformes,Osteichthyes,Chordata,Trimma emeryi,300,Vertebrata,Trimma emeryi,,,5.856,7.826,1.445,12.939,97.637,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,e792ea84-9b6f-4291-a6bf-a81dc2345ccb,"[248, 252, 31904]",28,Teleostei,-5.448888779,71.81194305,Labridae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Bodianus axillaris,1460,Vertebrata,Bodianus axillaris,,35.706,5.897,8.156,,13.123,94.673,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,af9ba92b-4971-4878-ad23-3955ddef2b53,"[248, 252, 31904]",13,Teleostei,-5.358889103,71.75861359,Sphyraenidae,Gnathostomata,Carangaria incertae sedis,Osteichthyes,Chordata,Sphyraena barracuda,265,Vertebrata,Sphyraena barracuda,25.314,,5.646,8.124,,13.22,81.503,0.0,0.3,0.0,No eDNA Data,High,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,9ac937c1-7902-459c-893e-057e65400d6c,"[248, 252, 31904]",22,Teleostei,-5.450833321,71.81583405,Epinephelidae,Gnathostomata,Perciformes,Osteichthyes,Chordata,Cephalopholis polleni,1282,Vertebrata,Cephalopholis polleni,,34.09,6.323,8.06,,13.273,82.595,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
c24bf1c2-2c62-4056-a841-56d94e6e876a,28375234-422e-4660-8ec8-44d8ec26dd68,"[248, 252, 31904]",4,Teleostei,-5.422500134,71.78111267,Lutjanidae,Gnathostomata,Eupercaria incertae sedis,Osteichthyes,Chordata,Lutjanidae,3155,Vertebrata,Lutjanidae,,,5.649,7.854,1.207,13.283,86.23,0.0,0.3,0.0,No eDNA Data,Low,Integrated Marine Data,2025-09-19
